"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1774377158292783501","Sun Mar 31 23:59:55 +0000 2024","0","@QianzyZ Insa Allah Prabowo Gibran presiden RI ny rakyat Indonesia memilih sendiri Indonesia maju bersama demokratS14P Prabowo Gibran ny","1774587461362188756","","QianzyZ","in","Cisoka, Indonesia","0","0","0","https://x.com/PropertyTaja/status/1774587461362188756","1575064788161667072","PropertyTaja"
"1774463723908026587","Sun Mar 31 23:59:38 +0000 2024","0","@Dennysiregar7 @officialMKRI Dibatalkan pun putusan MK gak akan menggugurkan Gibran. Ini berlaku kedepannya. Mentang mentang goblok jangan diborong semua Den.","1774587387605393456","","Dennysiregar7","in","","0","0","0","https://x.com/ElJibril4/status/1774587387605393456","1092353879113576448","ElJibril4"
"1774374831364186286","Sun Mar 31 23:58:40 +0000 2024","0","@gilang_ahm31272 Mengingati kembali 4 kata yaitu Produk Cacat Moral MK @gibran dan akan di ingat selama Indonesia masih ada.","1774587146776744430","","gilang_ahm31272","in","Nangro Aceh Darussalam, Indone","0","0","0","https://x.com/zulfans171/status/1774587146776744430","1540473600565968896","zulfans171"
"1774586691124437374","Sun Mar 31 23:56:52 +0000 2024","0","Dewasa itu bukan masalah usia - dewasa itu soal kemampuan menganalisa - mengolah data &amp; eksekusi nyata. Maju terus mas Gibran - Gusti ngayomi.","1774586694114873478","","ariefchristiyo","in","Solo, Central Java, Indonesia","0","0","0","https://x.com/ariefchristiyo/status/1774586694114873478","2190306348","ariefchristiyo"
"1774578312947593674","Sun Mar 31 23:55:53 +0000 2024","0","@tempodotco @SimbahPutri1 @officialMKRI @jokowi @prabowo @gibran_tweet Lalu diadakan pertemuan antara Ibu @msoekarnoputri Dan @prabowo Dgn target merayu dan membujuk @PDI_Perjuangan agar mau bergabung dgn pemerintahan @prabowo hasil dr proses curang tsb. Dan @PDI_Perjuangan termakan bujuk rayu ikut bergabung ke pemerintahan @prabowo . ","1774586445212340587","","BiruBir26073179","in","","0","1","0","https://x.com/BiruBir26073179/status/1774586445212340587","1611783237013229569","BiruBir26073179"
"1774337928111743344","Sun Mar 31 23:55:00 +0000 2024","1","@barry_all2n @gibran_tweet Hahahaaa btul kata Gibran waktu debat padah mudah simpel klo qda Tambang ilegal gk usah di Tangkepin orang dong pak cabut aja ijin nya BERES sesimpel itu kan‍️","1774586224575197478","","barry_all2n","in","Bandung timur","0","0","0","https://x.com/abah_igor/status/1774586224575197478","1055658911590637568","abah_igor"
"1774295200036487392","Sun Mar 31 23:54:13 +0000 2024","0","@TheLadyJokeer @gibran_tweet Sekjen ko nangis nangis. Dan suka nyinyir. Ganti pacul saja.","1774586026708902147","","TheLadyJokeer","in","","0","0","0","https://x.com/Denbagus481/status/1774586026708902147","1524713850515247104","Denbagus481"
"1771476816877744572","Sun Mar 31 23:54:02 +0000 2024","0","@gibran_tweet Pak @gibran_tweet tdk usah ikuti polemik gugatan pencalonan yg tidak sah. Tunjukan aja proyek besar yg sangat berpengaruh utk rakyat dan publikasikan. Spy yg pilih anda sbg wapres tdk kecewa. Ayo pak ditunggu gebrakan/bomb nya.","1774585979657163003","","gibran_tweet","in","","0","0","0","https://x.com/LizaBali3/status/1774585979657163003","1563653900309524481","LizaBali3"
"1774410598358683947","Sun Mar 31 23:53:49 +0000 2024","4","@KompasTV Cape nasihatin lu berdua @gibran_tweet dah dibilang ngelanggar etika eh masih dihajar juga! Terserah lu dah pada asal jangan nyusahin hidup gw aja! Jgn sampe gegara lu bedua gw harus nerina bansos. It's mean hidup gw jad susah!!","1774585926251085946","","KompasTV","in","Indonesia","0","0","0","https://x.com/NgarangBebasAja/status/1774585926251085946","2690105826","NgarangBebasAja"
"1774428783279493504","Sun Mar 31 23:51:52 +0000 2024","0","@realfedinuril Sehat2 mas @realfedinuril biar bisa menyaksikan pelantikan Pak @prabowo dan Mas @gibran_tweet ... Aamiin","1774585435177849110","","realfedinuril","in","","0","0","0","https://x.com/imansoekamti87/status/1774585435177849110","1278247470498066433","imansoekamti87"
